Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
25-ม.ค.-01,18.95765,0.04138,0.00091,0.00546,0.04186,0.002305,0.000655,0.00634,1.9159,0.0935,0.00935,0.1458,0.95031,0.07959,0.0006,0.16607,0.00817,1.599667626,1.3707,0.8318,1.3614,1.3427,0.0218,0.00726,0.0001,1.31377,0.00199,0.10351,0.00043,0.00373,0.01326,0.02462
26-ม.ค.-01,8.23151,0.00276,0.00075,0.00338,0.02516,0.001835,0.000545,0.00343,1.31,0.1307,0.0091,0.09092,0.41213,0.06295,0.0005,0.019615,0.00271,1.599667626,0.8632,0.4954,1.2006,0.7356,0.0213,0.00337,0.00024,0.51421,0.00094,0.07122,0.00011,0.00241,0.00469,0.03064
27-ม.ค.-01,15.25974,0.13662,0.00072,0.00606,0.12007,0.002485,0.00071,0.00685,1.6409,0.0464,0.0093,0.25479,0.69205,0.10637,0.00157,0.11743,0.00147,1.599667626,0.4334,1.031,1.805,1.4923,0.02165,0.0062,0.0001,0.63439,0.00142,0.20186,0.00066,0.01392,0.0033,0.03469
28-ม.ค.-01,15.61688,0.06801,0.000335,0.0067,0.06189,0.00228,0.00065,0.00515,1.1084,0.0155,0.0093,0.12441,0.69495,0.07322,0.0022,0.02402,0.00157,3.2438,0.5015,0.7523,1.5882,1.4211,0.02165,0.00616,0.0001,0.77459,0.00227,0.11133,0.000115,0.00498,0.00372,0.0153
29-ม.ค.-01,31.49681,0.00522,0.00085,0.01631,0.11291,0.00319,0.00084,0.00777,3.673,0.044,0.00945,0.22641,1.46783,0.13097,0.00077,0.41766,0.00322,4.5262,0.8176,1.0094,2.0503,2.2421,0.022,0.00731,0.00011,2.34272,0.00615,0.18353,0.00071,0.00874,0.00902,0.03587
30-ม.ค.-01,11.25807,0.00341,0.0012,0.00284,0.01705,0.00221,0.000635,0.00382,1.0879,0.0848,0.0091,0.05363,0.57479,0.05511,0.00058,0.024075,0.00133,1.9496,0.1455,0.4212,0.6485,0.7697,0.0758,0.00397,0.000095,1.11609,0.00114,0.05672,0.00027,0.0009,0.000775,0.02755
31-ม.ค.-01,13.28025,0.04092,0.00109,0.00387,0.04005,0.002285,0.00061,0.0032,0.7994,0.1094,0.0091,0.09922,0.79115,0.04379,0.00416,0.02623,0.00106,1.1021,0.2036,0.4164,0.4043,0.3587,0.2188,0.00324,0.000095,2.06915,0.00138,0.14207,0.00033,0.00995,0.000745,0.00967
1-ก.พ.-01,19.66997,0.00404,0.00076,0.00866,0.04313,0.0026,0.000735,0.00372,1.5487,0.0779,0.00975,0.06243,0.95701,0.08122,0.000675,0.21033,0.00904,4.0377,0.4481,0.737,1.4221,2.0162,0.02275,0.00362,0.000105,1.37037,0.00523,0.10656,0.000125,0.00413,0.02162,0.01787
2-ก.พ.-01,11.11842,0.06259,0.00127,0.00558,0.04559,0.002055,0.000555,0.00305,0.784,0.0895,0.00925,0.09723,0.68372,0.05383,0.00051,0.023765,0.0005,1.9381,0.1019,0.4136,0.429,0.5772,0.1543,0.00356,0.000095,1.71494,0.00157,0.12708,0.00056,0.00503,0.00068,0.01324
3-ก.พ.-01,22.04861,0.00375,0.00125,0.00786,0.04422,0.00237,0.000665,0.00842,1.4127,0.0603,0.0095,0.09248,1.21133,0.08287,0.000615,0.26271,0.011,5.5397,0.3905,0.6127,1.3333,1.7048,0.0222,0.00944,0.00011,1.41104,0.00147,0.09861,0.00035,0.0019,0.01129,0.02959
4-ก.พ.-01,34.05844,0.08184,0.00042,0.00946,0.06441,0.002575,0.00069,0.00792,3.1059,0.0966,0.0218,0.24518,1.5477,0.07826,0.00422,0.29734,0.00337,7.1919,1.2773,1.0405,1.3115,1.7259,0.8037,0.01014,0.0001,3.14822,0.00435,0.1673,0.00033,0.02366,0.00302,0.04124
